"Seconds since start", "emonth1:temperatureB", "emonth1:external temperatureB"
5462100, 23.8, 22.1
5464800, 23.6, 21.7
5467500, 23.4, 21.3
5472000, 23.0, 21.2
5474700, 22.8, 21.2
5477400, 22.7, 21.8
5481900, 22.9, 25.6
5487300, 23.8, 25.1
5491800, 24.5, 26.3
5494500, 24.8, 26.3
5497200, 25.1, 26.7
5505300, 25.6, 26.7
5508000, 25.8, 26.7
5523300, 25.2, 24.3
5526000, 25.0, 24.0
5528700, 24.7, 23.6
5534100, 24.3, 23.0
5541300, 23.7, 22.2
5544000, 23.5, 21.7
5546700, 23.3, 21.6
5553900, 22.7, 20.6
5556600, 22.6, 20.6
5566500, 22.9, 23.3
5573700, 24.3, 27.0
5576400, 25.0, 27.5
5579100, 25.5, 27.7
5581800, 25.9, 27.5
5584500, 26.1, 27.7
5589900, 26.3, 27.6
5616000, 25.0, 24.0
5618700, 24.7, 23.7
5621400, 24.6, 23.3
5636700, 23.7, 22.6
5639400, 23.6, 22.3
5642100, 23.5, 22.1
5646600, 23.3, 22.3
5649300, 23.4, 23.3
5652000, 23.6, 24.0
5654700, 23.9, 27.8
5661900, 25.8, 29.3
5667300, 27.2, 30.5
5681700, 27.7, 27.8
5684400, 27.5, 27.6
5687100, 27.4, 27.5
5689800, 27.2, 27.1
5692500, 27.1, 26.7
5695200, 26.9, 26.2
5697900, 26.7, 26.0
5700600, 26.5, 25.6
5708700, 26.0, 25.1
5711400, 25.9, 25.1
5716800, 25.6, 24.6
5719500, 25.4, 24.3
5722200, 25.3, 24.2
5737500, 24.9, 25.5
5742900, 25.7, 28.1
5748300, 26.9, 29.7
5751000, 27.5, 30.6
5759100, 28.4, 31.0
5773500, 28.1, 28.3
5778900, 27.6, 26.6
5781600, 27.2, 26.0
5784300, 26.8, 25.2
5792400, 25.6, 23.6
5795100, 25.2, 23.1
5797800, 24.8, 22.6
5800500, 24.5, 22.1
5807700, 23.7, 21.3
5810400, 23.4, 21.0
5813100, 23.1, 20.8
5815800, 22.9, 20.7
5820300, 22.6, 21.3
5823000, 22.7, 22.2
5825700, 22.9, 23.0
5832900, 24.6, 27.3
5835600, 25.3, 28.5
5838300, 26.1, 29.2
5841000, 26.5, 29.2
5843700, 26.9, 29.1
5846400, 27.2, 29.1
5849100, 27.3, 28.8
5851800, 27.4, 28.8
5863500, 28.3, 28.0
5871600, 27.5, 26.3
5874300, 27.2, 25.7
5877000, 26.8, 25.3
5879700, 26.4, 24.6
5887800, 25.3, 23.3
5890500, 24.9, 22.6
5895900, 24.3, 21.8
5905800, 23.4, 21.7
5908500, 23.4, 22.2
5913900, 23.7, 25.0
5918400, 24.6, 26.5
5921100, 25.1, 26.5
5929200, 26.2, 27.0
5931900, 26.2, 26.5
5934600, 26.1, 26.2
5937300, 26.1, 26.2
5942700, 26.1, 26.1
5953500, 25.4, 24.2
5956200, 25.1, 23.7
5976900, 23.6, 21.6
5984100, 23.0, 21.1
5986800, 22.9, 20.8
5989500, 22.7, 21.0
5994000, 22.8, 21.8
5999400, 23.1, 23.3
6009300, 25.1, 27.3
6014700, 25.9, 27.5
6044400, 25.4, 24.0
6047100, 25.2, 23.8
6049800, 25.1, 23.6
6059700, 24.4, 22.6
6067800, 23.7, 21.7
6075000, 23.2, 21.6
6077700, 23.1, 22.0
6080400, 23.3, 22.6
6084900, 23.5, 23.8
6087600, 23.8, 25.6
6093000, 25.1, 27.6
6095700, 25.5, 27.8
6114600, 26.8, 26.5
6117300, 26.6, 25.8
6135300, 25.4, 24.6
6138000, 25.3, 24.5
6140700, 25.2, 24.3
6143400, 25.1, 24.0
6146100, 25.0, 23.6
6151500, 24.7, 23.3
6161400, 24.2, 23.0
6166800, 24.1, 23.3
6174000, 24.4, 25.8
6176700, 24.9, 26.7
6179400, 25.3, 27.5
6182100, 25.9, 28.5
6187500, 26.9, 29.3
6190200, 27.2, 29.1
6192900, 27.5, 29.0
6195600, 27.5, 29.0
6201000, 27.6, 28.6
6203700, 27.6, 28.1
6206400, 27.4, 27.6
6209100, 27.2, 27.0
6214500, 26.8, 25.7
6219900, 26.0, 24.8
