# Htsmd;te0;dirN
4.100000000000000000e+01;7.035000000000000142e+00;0.000000000000000000e+00
4.200000000000000000e+01;6.535000000000000142e+00;0.000000000000000000e+00
4.300000000000000000e+01;6.235000000000000320e+00;0.000000000000000000e+00
4.400000000000000000e+01;6.035000000000000142e+00;0.000000000000000000e+00
4.500000000000000000e+01;5.434999999999999609e+00;0.000000000000000000e+00
4.600000000000000000e+01;4.934999999999999609e+00;0.000000000000000000e+00
4.700000000000000000e+01;4.834999999999999964e+00;0.000000000000000000e+00
4.800000000000000000e+01;4.235000000000000320e+00;0.000000000000000000e+00
4.900000000000000000e+01;3.834999999999999964e+00;0.000000000000000000e+00
5.000000000000000000e+01;3.834999999999999964e+00;0.000000000000000000e+00
5.100000000000000000e+01;3.734999999999999876e+00;0.000000000000000000e+00
5.200000000000000000e+01;2.734999999999999876e+00;0.000000000000000000e+00
5.300000000000000000e+01;2.435000000000000053e+00;0.000000000000000000e+00
5.400000000000000000e+01;2.935000000000000053e+00;0.000000000000000000e+00
5.500000000000000000e+01;2.935000000000000053e+00;0.000000000000000000e+00
5.600000000000000000e+01;3.435000000000000053e+00;5.000000000000000278e-02
5.700000000000000000e+01;4.634999999999999787e+00;1.036899999999999977e+02
5.800000000000000000e+01;6.834999999999999964e+00;3.200299999999999727e+02
5.900000000000000000e+01;8.835000000000000853e+00;4.821800000000000068e+02
6.000000000000000000e+01;1.003500000000000014e+01;5.669900000000000091e+02
6.100000000000000000e+01;1.023499999999999943e+01;5.913300000000000409e+02
6.200000000000000000e+01;1.023499999999999943e+01;4.698399999999999750e+02
6.300000000000000000e+01;9.634999999999999787e+00;1.993000000000000114e+02
6.400000000000000000e+01;8.535000000000000142e+00;1.515000000000000036e+01
6.500000000000000000e+01;7.934999999999999609e+00;0.000000000000000000e+00
6.600000000000000000e+01;7.235000000000000320e+00;0.000000000000000000e+00
6.700000000000000000e+01;7.035000000000000142e+00;0.000000000000000000e+00
6.800000000000000000e+01;6.934999999999999609e+00;0.000000000000000000e+00
6.900000000000000000e+01;6.535000000000000142e+00;0.000000000000000000e+00
7.000000000000000000e+01;6.535000000000000142e+00;0.000000000000000000e+00
7.100000000000000000e+01;5.834999999999999964e+00;0.000000000000000000e+00
7.200000000000000000e+01;4.434999999999999609e+00;0.000000000000000000e+00
7.300000000000000000e+01;3.535000000000000142e+00;0.000000000000000000e+00
7.400000000000000000e+01;3.634999999999999787e+00;0.000000000000000000e+00
7.500000000000000000e+01;3.435000000000000053e+00;0.000000000000000000e+00
7.600000000000000000e+01;3.035000000000000142e+00;0.000000000000000000e+00
7.700000000000000000e+01;2.734999999999999876e+00;0.000000000000000000e+00
7.800000000000000000e+01;2.334999999999999964e+00;0.000000000000000000e+00
7.900000000000000000e+01;2.435000000000000053e+00;0.000000000000000000e+00
8.000000000000000000e+01;2.535000000000000142e+00;1.000000000000000021e-02
8.100000000000000000e+01;2.834999999999999964e+00;3.160000000000000142e+00
8.200000000000000000e+01;3.134999999999999787e+00;2.262999999999999901e+01
8.300000000000000000e+01;4.735000000000000320e+00;2.228400000000000034e+02
8.400000000000000000e+01;6.535000000000000142e+00;5.833999999999999773e+02
8.500000000000000000e+01;7.634999999999999787e+00;6.602699999999999818e+02
8.600000000000000000e+01;7.535000000000000142e+00;6.163400000000000318e+02
8.700000000000000000e+01;6.235000000000000320e+00;4.681600000000000250e+02
8.800000000000000000e+01;5.035000000000000142e+00;1.862700000000000102e+02
8.900000000000000000e+01;5.235000000000000320e+00;1.000000000000000021e-02
9.000000000000000000e+01;4.535000000000000142e+00;0.000000000000000000e+00
9.100000000000000000e+01;3.734999999999999876e+00;0.000000000000000000e+00
9.200000000000000000e+01;3.634999999999999787e+00;0.000000000000000000e+00
9.300000000000000000e+01;4.134999999999999787e+00;0.000000000000000000e+00
9.400000000000000000e+01;4.934999999999999609e+00;0.000000000000000000e+00
9.500000000000000000e+01;5.134999999999999787e+00;0.000000000000000000e+00
9.600000000000000000e+01;5.434999999999999609e+00;0.000000000000000000e+00
9.700000000000000000e+01;5.535000000000000142e+00;0.000000000000000000e+00
9.800000000000000000e+01;5.535000000000000142e+00;0.000000000000000000e+00
9.900000000000000000e+01;5.434999999999999609e+00;0.000000000000000000e+00
1.000000000000000000e+02;5.834999999999999964e+00;0.000000000000000000e+00
1.010000000000000000e+02;5.934999999999999609e+00;0.000000000000000000e+00
1.020000000000000000e+02;6.035000000000000142e+00;0.000000000000000000e+00
1.030000000000000000e+02;6.334999999999999964e+00;0.000000000000000000e+00
1.040000000000000000e+02;6.634999999999999787e+00;0.000000000000000000e+00
1.050000000000000000e+02;7.235000000000000320e+00;3.900000000000000133e-01
1.060000000000000000e+02;7.934999999999999609e+00;8.199999999999999512e-01
1.070000000000000000e+02;8.935000000000000497e+00;1.800000000000000044e+00
1.080000000000000000e+02;9.535000000000000142e+00;6.799999999999999822e+00
1.090000000000000000e+02;1.033500000000000085e+01;4.635000000000000142e+01
1.100000000000000000e+02;1.053500000000000014e+01;2.432000000000000028e+01
1.110000000000000000e+02;9.435000000000000497e+00;3.259999999999999787e+00
