sep=,
"Time","thA"
1695451455720,13.64
1695453255626,13.7
1695454994215,13.91
1695455917500,14.12
1695456790646,14.34
1695457683805,14.56
1695458496714,14.77
1695459289583,14.98
1695460102563,15.19
1695461065984,15.41
1695461889022,15.63
1695462671868,15.84
1695463274062,16.06
1695463735696,16.29
1695464006680,16.51
1695464508471,16.72
1695464899914,16.93
1695465391745,17.14
1695466234829,17.35
1695467077911,17.59
1695467519548,17.8
1695468051519,18.01
1695468844436,18.22
1695469286074,18.43
1695470651132,18.64
1695471383822,18.86
1695472297205,19.07
1695473471566,19.28
1695474394943,19.49
1695474916894,19.7
1695475810221,19.91
1695477610439,19.75
1695478309599,19.97
1695479395626,20.41
1695481195765,20.57
1695481985190,20.78
1695483430501,21
1695485230563,21.09
1695487030543,20.98
1695487116646,20.98
1695488830613,20.79
1695490225448,20.58
1695491229219,20.35
1695492353140,20.13
1695493587942,19.91
1695494270571,19.7
1695494822601,19.47
1695495736064,19.24
1695497536339,19.19
1695499336486,19.01
1695500614321,18.8
1695501276801,18.59
1695501969348,18.37
1695503565243,18.16
1695504619112,17.94
1695505853617,17.73
1695506787065,17.51
1695508031723,17.3
1695508824647,17.08
1695509888538,16.86
1695511688718,16.72
1695512357733,16.51
1695513090424,16.3
1695513923474,16.09
1695514615972,15.88
1695516416046,15.93
1695517647047,15.72
1695519447058,15.6
1695521159696,15.38
1695522959657,15.19
1695524759401,15.01
1695525474923,14.8
1695527275206,14.64
1695528656635,14.43
1695529579949,14.21
1695531380080,14.19
1695532400183,13.98
1695534200065,13.8
1695535999969,13.69
1695537799905,13.64
1695538863264,13.43
1695540619424,13.64
1695541984247,13.86
1695542977791,14.07
1695543780766,14.28
1695544513391,14.49
1695545175756,14.71
1695545727694,14.92
1695546249635,15.14
1695546741414,15.36
1695547243229,15.57
1695547855436,15.78
1695548317094,15.99
1695548989485,16.21
1695549200240,16.43
1695549752268,16.66
1695550223974,16.88
1695550464835,17.1
1695550986729,17.32
1695551488551,17.53
1695551940181,17.75
1695552241295,17.96
1695552522336,18.17
1695552913791,18.39
1695553315256,18.61
1695553726829,18.82
1695554118345,19.04
1695554389374,19.27
1695554770855,19.49
1695555583924,19.7
1695555965357,19.91
1695556477351,20.12
1695556898944,20.33
1695557099676,20.55
1695557922660,20.76
1695558585115,20.97
1695559036782,21.19
1695559729250,21.41
1695560502088,21.63
1695561485675,21.85
1695562268525,22.06
1695562900927,22.28
1695563583483,22.49
1695564005008,22.72
1695564356318,22.93
1695564697546,23.14
1695564928395,23.37
1695565219477,23.59
1695565640987,23.81
1695566032446,24.02
1695566504162,24.23
1695566986022,24.44
1695567819155,24.67
1695568441486,24.89
1695570241731,25.05
1695572041969,25.14
1695573842065,25.15
1695575642340,25.01
1695576090034,24.79
1695576391181,24.57
1695576682270,24.34
1695577123887,24.13
1695577374821,23.92
1695577625756,23.71
1695577866669,23.49
1695578238071,23.27
1695578679719,23.05
1695579352245,22.84
1695580135172,22.62
1695581440094,22.4
1695582002162,22.19
1695583447500,21.98
1695583979505,21.76
1695584391049,21.54
1695585113679,21.32
1695585304366,21.11
1695585615508,20.9
1695586548936,20.68
1695587351870,20.46
1695588455986,20.25
1695588867532,20.03
1695589419576,19.8
1695589710662,19.59
1695589971653,19.38
1695590302883,19.16
1695591477211,18.95
1695592882440,18.74
1695594682549,18.58
1695595150790,18.37
1695595552267,18.16
1695596144484,17.94
1695596415569,17.73
1695598162085,17.51
1695599962155,17.38
1695601762214,17.18
1695603160316,16.96
1695604555628,16.74
1695606355884,16.64
1695607285723,16.43
1695608309382,16.22
1695609664416,16.01
1695611430789,15.79
1695612484649,15.57
1695614284692,15.38
